state,total_pop,disability_category,race,gender,employed_count,disability_employed,no_disability_employed,employment_gap,poverty_count,disability_poverty,no_disability_poverty,poverty_gap
RI,11732,Hearing,All,All,7165,61,,,3211,9.2,,
SC,63240,Hearing,All,All,32945,52,,,29015,15.6,,
SD,13941,Hearing,All,All,9541,68.4,,,4161,11.3,,
TN,109517,Hearing,All,All,53002,48.3,,,46770,15.8,,
TX,361517,Hearing,All,All,212980,58.9,,,140864,14.8,,
UT,40281,Hearing,All,All,28734,71.3,,,12266,11.9,,
VT,8133,Hearing,All,All,4582,56.3,,,5369,19.3,,
VA,107319,Hearing,All,All,61469,57.2,,,37352,13,,
WA,102560,Hearing,All,All,59645,58.1,,,36311,12.2,,
WV,33291,Hearing,All,All,15453,46.4,,,19665,19.6,,
WI,73772,Hearing,All,All,42424,57.5,,,29529,14.2,,
WY,9100,Hearing,All,All,5979,65.7,,,3773,13.1,,
AL,85135,Vision,All,All,31203,36.6,,,35482,23.2,,
AK,9079,Vision,All,All,5296,58.3,,,4162,24,,
AZ,91441,Vision,All,All,52208,57,,,33294,18.5,,
AR,55297,Vision,All,All,21805,39.4,,,29247,27.5,,
CA,440277,Vision,All,All,211178,47.9,,,170867,20.1,,
CO,66208,Vision,All,All,35577,53.7,,,21293,17.3,,
CT,40603,Vision,All,All,21894,53.9,,,16286,20.7,,
DE,13099,Vision,All,All,6066,46.3,,,4937,18.9,,
DC,9703,Vision,All,All,4536,46.7,,,3870,28,,
FL,259705,Vision,All,All,126129,48.5,,,117083,20.9,,
GA,149327,Vision,All,All,69295,46.4,,,62262,22.4,,
HI,12019,Vision,All,All,6019,50,,,3362,12.8,,
ID,28388,Vision,All,All,18652,65.7,,,9012,17.6,,
IL,136998,Vision,All,All,69125,50.4,,,62359,23.4,,
IN,88865,Vision,All,All,43279,48.7,,,38548,23,,
IA,33909,Vision,All,All,18131,53.4,,,13958,22.5,,
KS,34818,Vision,All,All,18283,52.5,,,16205,24.3,,
KY,89154,Vision,All,All,34688,38.9,,,47938,29.1,,
LA,96632,Vision,All,All,41732,43.1,,,49640,29.3,,
ME,14298,Vision,All,All,4757,33.2,,,7457,26.8,,
MD,63400,Vision,All,All,33869,53.4,,,23249,19.7,,
MA,64727,Vision,All,All,32962,50.9,,,28344,20.2,,
MI,113662,Vision,All,All,48583,42.7,,,49377,22.2,,
MN,46518,Vision,All,All,23434,50.3,,,20029,21.2,,
MS,70633,Vision,All,All,30111,42.6,,,35732,28.4,,
MO,89950,Vision,All,All,42477,47.2,,,38857,23.7,,
MT,13291,Vision,All,All,4540,34.1,,,5249,19.1,,
NE,26430,Vision,All,All,14622,55.3,,,9840,20.7,,
NV,45283,Vision,All,All,21174,46.7,,,20924,23.8,,
NH,14175,Vision,All,All,6791,47.9,,,4764,17.4,,
NJ,93308,Vision,All,All,48559,52,,,38741,20.7,,
NM,32792,Vision,All,All,14988,45.7,,,18175,27.7,,
NY,206577,Vision,All,All,94198,45.5,,,109147,26.5,,
NC,143324,Vision,All,All,65782,45.8,,,61628,22.6,,
ND,11957,Vision,All,All,8115,67.8,,,4781,22.6,,
OH,151355,Vision,All,All,65583,43.3,,,64794,22.5,,
OK,86238,Vision,All,All,40769,47.2,,,38613,24.9,,
OR,55212,Vision,All,All,26142,47.3,,,22573,21.3,,
PA,160422,Vision,All,All,67533,42,,,77255,24.5,,
RI,14398,Vision,All,All,8369,58.1,,,5430,21,,
SC,70780,Vision,All,All,33796,47.7,,,33736,23.1,,
SD,9761,Vision,All,All,5222,53.4,,,4962,27.2,,
TN,116871,Vision,All,All,51900,44.4,,,51381,24.1,,
TX,419128,Vision,All,All,223337,53.2,,,178338,22.6,,
UT,33735,Vision,All,All,19816,58.7,,,13855,22.6,,
VT,5703,Vision,All,All,2147,37.6,,,3109,23.5,,
VA,99562,Vision,All,All,52004,52.2,,,39080,19.5,,
WA,85945,Vision,All,All,42099,48.9,,,33704,20.4,,
WV,30818,Vision,All,All,8895,28.8,,,15606,26.3,,
WI,59657,Vision,All,All,31240,52.3,,,22441,20.7,,
WY,8004,Vision,All,All,4535,56.6,,,2993,19.2,,
AL,183141,Cognitive,All,All,48762,26.6,,,80126,26.4,,
AK,25998,Cognitive,All,All,12130,46.6,,,9771,24.7,,
AZ,205949,Cognitive,All,All,75494,36.6,,,83834,22.7,,
AR,122218,Cognitive,All,All,32258,26.3,,,58581,28.4,,
CA,955091,Cognitive,All,All,304499,31.8,,,403822,23.6,,
CO,160011,Cognitive,All,All,66927,41.8,,,47773,18.8,,
CT,98619,Cognitive,All,All,34627,35.1,,,43968,26.4,,
DE,27107,Cognitive,All,All,10465,38.6,,,10059,21.4,,
DC,20023,Cognitive,All,All,7462,37.2,,,10482,34.6,,
FL,571601,Cognitive,All,All,179537,31.4,,,257030,23.9,,
GA,317397,Cognitive,All,All,104957,33,,,129977,23.8,,
HI,34386,Cognitive,All,All,9810,28.5,,,17085,25.9,,
ID,61658,Cognitive,All,All,26176,42.4,,,21762,20.4,,
IL,320585,Cognitive,All,All,109265,34,,,142582,25.9,,
IN,210353,Cognitive,All,All,74394,35.3,,,92135,26.1,,
IA,95770,Cognitive,All,All,38546,40.2,,,47517,31.7,,
KS,99028,Cognitive,All,All,37415,37.7,,,46574,29.3,,
KY,188277,Cognitive,All,All,46338,24.6,,,106879,34.5,,
LA,172153,Cognitive,All,All,45150,26.2,,,90347,31.5,,
ME,58996,Cognitive,All,All,17561,29.7,,,33734,37.7,,
MD,152155,Cognitive,All,All,57890,38,,,64250,24.9,,
MA,190553,Cognitive,All,All,67661,35.5,,,89978,27.2,,
MI,340394,Cognitive,All,All,108610,31.9,,,155741,27.8,,
MN,184745,Cognitive,All,All,87731,47.4,,,66327,22.3,,
MS,123035,Cognitive,All,All,27426,22.2,,,63403,30.8,,
MO,211107,Cognitive,All,All,78737,37.2,,,90693,26.4,,
MT,37919,Cognitive,All,All,13857,36.5,,,16360,27.5,,
NE,53833,Cognitive,All,All,23877,44.3,,,21146,22.6,,
NV,83410,Cognitive,All,All,28355,33.9,,,38950,26.4,,
NH,42323,Cognitive,All,All,17348,40.9,,,12820,19.5,,
NJ,185139,Cognitive,All,All,54147,29.2,,,70061,20.7,,
NM,78495,Cognitive,All,All,23076,29.3,,,40079,30.5,,
NY,517427,Cognitive,All,All,156912,30.3,,,276387,30.2,,
NC,325959,Cognitive,All,All,105132,32.2,,,135588,25,,
ND,17972,Cognitive,All,All,9465,52.6,,,7212,24.1,,
OH,406879,Cognitive,All,All,140473,34.5,,,190880,28.3,,
OK,156751,Cognitive,All,All,51656,32.9,,,70266,27.9,,
OR,174169,Cognitive,All,All,58178,33.4,,,80749,29,,
PA,421866,Cognitive,All,All,139990,33.1,,,206752,29.2,,
RI,37602,Cognitive,All,All,14106,37.5,,,16186,26.1,,
SC,153828,Cognitive,All,All,48209,31.3,,,66449,25.1,,
SD,24550,Cognitive,All,All,10093,41.1,,,13218,33.7,,
TN,240740,Cognitive,All,All,66213,27.5,,,115194,28.3,,
TX,777206,Cognitive,All,All,286503,36.8,,,326905,24.3,,
UT,103270,Cognitive,All,All,49683,48.1,,,34061,21.9,,
VT,22565,Cognitive,All,All,5907,26.1,,,10297,30,,
VA,228934,Cognitive,All,All,81293,35.5,,,91875,23.4,,
WA,262075,Cognitive,All,All,89370,34.1,,,101866,24.3,,
WV,77253,Cognitive,All,All,18155,23.5,,,38230,29.7,,
WI,176760,Cognitive,All,All,73044,41.3,,,80500,29.9,,
WY,16470,Cognitive,All,All,7234,43.9,,,6764,25.8,,
AL,209788,Ambulatory,All,All,40062,19,,,100404,23.1,,
AK,19632,Ambulatory,All,All,6285,32,,,8253,22,,
AZ,184450,Ambulatory,All,All,55124,29.8,,,87118,19.2,,
AR,128378,Ambulatory,All,All,31628,24.6,,,63386,24.5,,
CA,820251,Ambulatory,All,All,205229,25,,,416428,19.8,,
CO,111403,Ambulatory,All,All,36214,32.5,,,42807,16.4,,
CT,82289,Ambulatory,All,All,22383,27.2,,,42004,21.2,,
DE,28267,Ambulatory,All,All,9976,35.2,,,9506,14.9,,
DC,20748,Ambulatory,All,All,6328,30.4,,,13941,33.9,,
FL,583227,Ambulatory,All,All,152070,26,,,291046,19.7,,
GA,317098,Ambulatory,All,All,78986,24.9,,,135744,20.1,,
HI,28670,Ambulatory,All,All,8300,28.9,,,15446,18.4,,
ID,46777,Ambulatory,All,All,15598,33.3,,,18906,17.3,,
IL,316618,Ambulatory,All,All,85829,27.1,,,159018,21.5,,
IN,207877,Ambulatory,All,All,55673,26.7,,,90711,20.5,,
IA,80060,Ambulatory,All,All,23003,28.7,,,39516,22.5,,
KS,75632,Ambulatory,All,All,21723,28.7,,,36349,21.2,,
KY,199797,Ambulatory,All,All,41069,20.5,,,110315,27.3,,
LA,169940,Ambulatory,All,All,37982,22.3,,,96113,26.8,,
ME,45789,Ambulatory,All,All,9117,19.9,,,23863,25.8,,
MD,144896,Ambulatory,All,All,45947,31.7,,,66876,20.3,,
MA,140064,Ambulatory,All,All,35667,25.4,,,82648,22.8,,
MI,302686,Ambulatory,All,All,71152,23.5,,,148383,22.1,,
MN,105314,Ambulatory,All,All,38044,36.1,,,50195,19.3,,
MS,139273,Ambulatory,All,All,28739,20.6,,,72526,26.2,,
MO,194670,Ambulatory,All,All,46137,23.7,,,97667,23,,
MT,27961,Ambulatory,All,All,9639,34.4,,,11511,16.5,,
NE,48455,Ambulatory,All,All,16969,35,,,21754,20,,
NV,89480,Ambulatory,All,All,27843,31.1,,,43518,21.5,,
NH,28796,Ambulatory,All,All,9255,32.1,,,10559,15.8,,
NJ,182319,Ambulatory,All,All,47191,25.8,,,88990,18.5,,
NM,75291,Ambulatory,All,All,16803,22.3,,,45610,28.1,,
NY,492523,Ambulatory,All,All,122257,24.8,,,299607,24.9,,
NC,326500,Ambulatory,All,All,79225,24.2,,,153147,21.7,,
ND,14815,Ambulatory,All,All,5409,36.5,,,8337,22.3,,
OH,355265,Ambulatory,All,All,89733,25.2,,,179765,22.9,,
OK,155889,Ambulatory,All,All,41564,26.6,,,72433,22.1,,
OR,121349,Ambulatory,All,All,33753,27.8,,,57057,20.5,,
PA,356698,Ambulatory,All,All,88614,24.8,,,182138,21.9,,
RI,29001,Ambulatory,All,All,6805,23.4,,,12313,18.5,,
SC,174347,Ambulatory,All,All,41485,23.7,,,85405,23,,
SD,20601,Ambulatory,All,All,5886,28.5,,,12666,25.5,,
TN,253557,Ambulatory,All,All,58214,22.9,,,124292,23.8,,
TX,755709,Ambulatory,All,All,243067,32.1,,,351493,21.1,,
UT,64731,Ambulatory,All,All,26577,41,,,22384,17.2,,
VT,14670,Ambulatory,All,All,3073,20.9,,,9132,25.5,,
VA,224836,Ambulatory,All,All,68451,30.4,,,96149,19.2,,
WA,186399,Ambulatory,All,All,49053,26.3,,,87567,20.2,,
WV,82894,Ambulatory,All,All,15111,18.2,,,45338,26.2,,
WI,131401,Ambulatory,All,All,39633,30.1,,,63761,21.4,,
WY,14667,Ambulatory,All,All,4905,33.4,,,6782,20.8,,
AL,61183,Self-Care,All,All,6951,11.3,,,31104,22.8,,
AK,7973,Self-Care,All,All,2198,27.5,,,3390,25.1,,
AZ,61460,Self-Care,All,All,11065,18,,,30467,18.9,,
AR,45521,Self-Care,All,All,6104,13.4,,,26726,28.2,,
CA,365270,Self-Care,All,All,48555,13.2,,,218657,22.5,,
CO,41729,Self-Care,All,All,7764,18.6,,,16069,16.9,,
CT,34724,Self-Care,All,All,7212,20.7,,,20105,25.1,,
DE,11875,Self-Care,All,All,2777,23.3,,,5506,21.5,,
DC,6452,Self-Care,All,All,1077,16.6,,,4859,36.4,,
FL,212067,Self-Care,All,All,37072,17.4,,,120461,22.1,,
GA,109603,Self-Care,All,All,18763,17.1,,,54359,22.1,,
HI,11346,Self-Care,All,All,1785,15.7,,,5303,15.9,,
ID,18078,Self-Care,All,All,3136,17.3,,,9261,20.6,,
IL,122424,Self-Care,All,All,19660,16,,,66123,23.6,,
IN,74327,Self-Care,All,All,12268,16.5,,,36417,23.3,,
IA,28822,Self-Care,All,All,5886,20.4,,,16853,26.9,,
KS,29915,Self-Care,All,All,3922,13.1,,,14757,23.6,,
KY,72281,Self-Care,All,All,9185,12.7,,,41850,28.1,,
LA,65208,Self-Care,All,All,9199,14.1,,,38940,27.9,,
ME,16038,Self-Care,All,All,1339,8.3,,,9592,30.5,,
MD,47933,Self-Care,All,All,8675,18,,,27483,23.4,,
MA,58197,Self-Care,All,All,9260,15.9,,,37299,24.4,,
MI,117444,Self-Care,All,All,14862,12.6,,,63288,25.7,,
MN,46786,Self-Care,All,All,12773,27.3,,,26471,22.5,,
MS,45760,Self-Care,All,All,5101,11.1,,,27238,29.5,,
MO,71063,Self-Care,All,All,11868,16.7,,,42982,28.8,,
MT,10839,Self-Care,All,All,2508,23.1,,,5962,24.1,,
NE,16548,Self-Care,All,All,3922,23.7,,,9171,24.9,,
NV,30717,Self-Care,All,All,4771,15.5,,,19503,25.7,,
NH,12970,Self-Care,All,All,3434,26.4,,,4507,18.7,,
NJ,78150,Self-Care,All,All,12395,15.8,,,44269,22.1,,
NM,32061,Self-Care,All,All,5919,18.4,,,18813,29,,
NY,198077,Self-Care,All,All,25429,12.8,,,140306,27.8,,
NC,110804,Self-Care,All,All,18478,16.6,,,56326,22.2,,
ND,3847,Self-Care,All,All,1178,30.6,,,2184,19.2,,
OH,121345,Self-Care,All,All,19009,15.6,,,67364,24.2,,
OK,46235,Self-Care,All,All,7237,15.6,,,25439,25,,
OR,50336,Self-Care,All,All,8799,17.4,,,29278,24.9,,
PA,134141,Self-Care,All,All,21735,16.2,,,73625,24.5,,
RI,12436,Self-Care,All,All,1450,11.6,,,6327,23.7,,
SC,61556,Self-Care,All,All,8645,14,,,31721,23.2,,
SD,7314,Self-Care,All,All,793,10.8,,,4795,29.2,,
TN,83397,Self-Care,All,All,12136,14.5,,,47130,25.5,,
TX,276165,Self-Care,All,All,46771,16.9,,,157923,24.9,,
UT,23217,Self-Care,All,All,6219,26.7,,,8761,18.5,,
VT,6185,Self-Care,All,All,471,7.6,,,3718,27.1,,
VA,82485,Self-Care,All,All,15319,18.5,,,40554,20.5,,
WA,72493,Self-Care,All,All,10437,14.3,,,40988,24.5,,
WV,31477,Self-Care,All,All,2647,8.4,,,23333,34.4,,
WI,57350,Self-Care,All,All,8973,15.6,,,29886,25,,
WY,4750,Self-Care,All,All,1017,21.4,,,2944,29.4,,
AL,150441,Independent Living,All,All,20900,13.8,,,65235,23.1,,
AK,19396,Independent Living,All,All,4180,21.5,,,7337,25.3,,
AZ,154822,Independent Living,All,All,36283,23.4,,,61400,19.5,,
AR,102928,Independent Living,All,All,15298,14.8,,,48361,26.6,,
CA,783774,Independent Living,All,All,150309,19.1,,,382386,21.9,,
CO,109735,Independent Living,All,All,30503,27.7,,,37112,18.2,,
CT,75964,Independent Living,All,All,15758,20.7,,,39607,25.2,,
DE,23182,Independent Living,All,All,6444,27.7,,,7762,17.3,,
DC,11291,Independent Living,All,All,2294,20.3,,,7856,34,,
FL,447811,Independent Living,All,All,85645,19.1,,,215741,21.3,,
GA,250740,Independent Living,All,All,42353,16.8,,,101953,21.3,,
HI,26466,Independent Living,All,All,7553,28.5,,,11326,16.7,,
ID,39248,Independent Living,All,All,8616,21.9,,,17516,21.7,,
IL,268220,Independent Living,All,All,56873,21.2,,,121715,22,,
IN,169871,Independent Living,All,All,38130,22.4,,,70396,22.4,,
IA,70035,Independent Living,All,All,19569,27.9,,,33358,25.1,,
KS,75403,Independent Living,All,All,17792,23.5,,,32443,24.4,,
KY,153865,Independent Living,All,All,21914,14.2,,,85883,30,,
LA,131666,Independent Living,All,All,21904,16.6,,,72147,29,,
ME,48499,Independent Living,All,All,11042,22.7,,,25118,31.4,,
MD,106398,Independent Living,All,All,23872,22.4,,,50591,21.5,,
MA,140821,Independent Living,All,All,32051,22.7,,,74075,24.5,,
MI,273744,Independent Living,All,All,48070,17.5,,,124118,24.1,,
MN,125635,Independent Living,All,All,42706,33.9,,,53337,22.1,,
MS,99032,Independent Living,All,All,12835,12.9,,,51484,28.5,,
MO,157561,Independent Living,All,All,34367,21.8,,,70076,23.5,,
MT,25317,Independent Living,All,All,6560,25.9,,,12369,25,,
NE,36130,Independent Living,All,All,12425,34.3,,,14100,19.2,,
NV,64174,Independent Living,All,All,13130,20.4,,,32046,23.9,,
NH,31444,Independent Living,All,All,9339,29.7,,,11972,20.9,,
NJ,164983,Independent Living,All,All,28919,17.5,,,77060,20.8,,
NM,65059,Independent Living,All,All,13126,20.1,,,35887,29.4,,
NY,436592,Independent Living,All,All,69615,15.9,,,267856,27.5,,
NC,255865,Independent Living,All,All,44637,17.4,,,113696,23.5,,
ND,9697,Independent Living,All,All,2306,23.7,,,6175,27.7,,
OH,286282,Independent Living,All,All,62336,21.7,,,133747,24,,
OK,119785,Independent Living,All,All,23373,19.5,,,52603,24,,
OR,124720,Independent Living,All,All,30028,24,,,55933,24.2,,
PA,315910,Independent Living,All,All,62660,19.8,,,158307,25.1,,
RI,30055,Independent Living,All,All,5898,19.6,,,12130,21.8,,
SC,125691,Independent Living,All,All,25228,20,,,60021,23.8,,
SD,15299,Independent Living,All,All,3942,25.7,,,9961,32.7,,
TN,191409,Independent Living,All,All,30466,15.9,,,86474,24,,
TX,589083,Independent Living,All,All,130871,22.2,,,261527,22.6,,
UT,67291,Independent Living,All,All,19382,28.8,,,21660,19.6,,
VT,16157,Independent Living,All,All,3145,19.4,,,8270,26.9,,
VA,176496,Independent Living,All,All,38111,21.5,,,70678,19.7,,
WA,181137,Independent Living,All,All,38126,21,,,80878,23.5,,
WV,62089,Independent Living,All,All,8324,13.4,,,34478,29,,
WI,131964,Independent Living,All,All,34281,25.9,,,60487,25.9,,
WY,11402,Independent Living,All,All,3368,29.5,,,5707,24.1,,
AL,258388,All,White,All,87984,34.1,76,41.9,98809,18.7,11.6,7.4
AK,33423,All,White,All,14783,44.2,77.6,33.4,9409,16,7.1,8.9
AZ,243468,All,White,All,108061,44.4,77.5,33.1,88006,15,8.9,6.1
AR,187888,All,White,All,67602,36,77.6,41.6,80017,21.1,13.4,7.6
CA,774866,All,White,All,301156,38.9,75.3,36.4,303927,16.6,8.7,8.3
CO,204100,All,White,All,105538,51.7,81.4,29.7,58428,13.5,7.7,6.3
CT,119917,All,White,All,53809,44.9,79.4,34.5,43015,15.4,7.2,7.8
DE,37632,All,White,All,17502,46.5,75.9,29.4,10164,11.9,7.9,4.1
DC,7893,All,White,All,4925,62.4,86.2,23.8,3349,22.4,9.3,12.7
FL,689090,All,White,All,271218,39.4,76.4,37,263039,15,9.9,5.1
GA,352080,All,White,All,141446,40.2,77.1,36.9,116304,15.5,9.9,5.1
HI,15211,All,White,All,5447,35.8,74.9,39.1,7382,19.7,12,8
ID,103297,All,White,All,50047,48.4,80,31.6,34677,15.9,10,6
IL,436443,All,White,All,186325,42.7,79.6,36.9,165749,17.4,8.4,8.6
IN,364907,All,White,All,150529,41.3,79.8,38.5,130602,18,10.4,7.6
IA,162742,All,White,All,74291,45.6,84.3,38.7,67376,19.8,9.8,10.2
KS,144703,All,White,All,66102,45.7,82.1,36.4,53289,17.9,9.7,8.3
KY,360666,All,White,All,119237,33.1,76.4,43.3,176677,26.3,14.4,11.6
LA,207333,All,White,All,74481,35.9,76.1,40.2,84878,20,11.6,8.4
ME,99426,All,White,All,35207,35.4,80.4,45,47510,25,10.7,14.3
MD,160071,All,White,All,78659,49.1,81,31.9,50858,14.4,6.5,7.5
MA,260182,All,White,All,111009,42.7,80.6,37.9,100693,17.6,8.6,9.4
MI,496552,All,White,All,193928,39.1,77.1,38,191486,18.7,10.5,8.5
MN,257440,All,White,All,132845,51.6,84.7,33.1,86773,16.4,7.3,8.7
MS,150704,All,White,All,52379,34.8,76.8,42,58772,19.2,10.8,8.2
MO,344601,All,White,All,146557,42.5,80.6,38.1,134245,19.3,10.6,8.4
MT,60984,All,White,All,27166,44.5,79.8,35.3,22691,17,10,7
NE,102076,All,White,All,55985,54.8,85.9,31.1,32441,16,8.5,7.5
NV,102830,All,White,All,42868,41.7,74,32.3,42068,18.6,10.4,8.6
NH,76507,All,White,All,35760,46.7,82.1,35.4,22996,15.2,7.7,7.3
NJ,224445,All,White,All,91057,40.6,78.7,38.1,73771,13.3,6.7,6.3
NM,56861,All,White,All,20070,35.3,73.6,38.3,26444,19.8,13.3,6.7
NY,577919,All,White,All,227852,39.4,77.6,38.2,235678,18,9.9,8.1
NC,437032,All,White,All,172631,39.5,77.6,38.1,155303,16.8,9.7,7.3
ND,34364,All,White,All,20300,59.1,84.8,25.7,13732,18.5,8.9,10.1
OH,627105,All,White,All,251303,40.1,80,39.9,252526,19.6,10.4,9.6
OK,229758,All,White,All,96432,42,77.3,35.3,93453,20,12.6,7.4
OR,249985,All,White,All,101964,40.8,76.9,36.1,101913,20.5,10.7,9.3
